Category,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,Total
Agricultural Sciences,7,465,432,383,410,276,100,91,9,7,5,4,0,0,4,1,2194
Arts and Humanities,3,16546,187,156,127,108,136,143,21,9,37,15,5,0,22,2,17517
Astronomy and Astrophysics,1,128,213,248,182,73,87,113,5,7,0,1,0,0,0,1,1059
Business and Management,2,275,179,151,89,58,74,71,2,5,2,2,4,1,0,3,918
Chemistry,0,121,109,102,44,37,32,10,3,0,0,1,0,0,0,0,459
Computer and Information Science,3,456,424,273,233,190,131,125,12,7,2,2,4,1,2,0,1865
Earth and Environmental Science,12,660,647,403,287,248,261,244,35,17,10,5,6,0,4,3,2842
Engineering,0,279,219,178,110,64,51,28,4,0,0,1,1,0,0,3,938
Law,1,762,3784,69,54,58,46,24,4,6,13,3,3,3,2,2,4834
Mathematical Sciences,2,96,83,61,43,24,55,16,2,2,1,0,3,0,0,2,390
"Medicine, Health and Life Sciences",23,1372,1237,798,752,543,678,266,34,11,10,10,5,4,1,5,5749
Physics,0,288,201,165,233,20,35,23,1,0,0,1,1,0,0,1,969
Social Sciences,68,4492,7301,2557,3125,2296,2526,5043,337,186,136,75,127,57,52,312,28690